reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,replyContent,repliedAt,sortOrder,appId
22c7c6fc-0159-4531-bfb3-4002fe5bb588,Bishwa Ranjan Kar,https://play-lh.googleusercontent.com/a-/ALV-UjUuusQCEBPG3-c-D1O693um2n3fDd7YOgrSImSkbcHMLSOEn9fBaA,"First, I greatly appreciate the developers who create this and the community around it. Since version 3.26, the app continuously gives a server not found error after updating. This basically renders the app useless for all practical purposes. Raising GitHub issues has not helped. It is not resolved in ver 3.27 either. Since the core functionality has not been work over last 2 versions over 2 releases it is not reliable and hence rated 1 star. I am now using 3.25 which works fine.",1,0,,,,most_relevant,com.nextcloud.client
6a8ad582-c3df-457f-8220-ae8c4f9cd6be,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Seeminglt after a password change on the web version of Nextcloud, you cant re-login / update the password... Meaning you are forced to add a ""new account"". Resulting the current upload queue not to run. Numerous reports about this matter on GitHub! Next to this the app has not an option to sync the gallery with nextcloud which are missing nor does it have an option to sync all images (like the iOS app has) ... -3",1,4,3.7.0,,,most_relevant,com.nextcloud.client
23496b8b-f6f2-47ca-aee5-18e414075eb1,High Inquisitor Bonobo the Great,https://play-lh.googleusercontent.com/a-/ALV-UjX_VwMJuQrFkVOAy5ZcYYJfKgbn2gA8pBzdJRmyDqrk6DB5YpCA,Cool the client lost connection to the server and it promptly decided to delete every single file I have had synced.,1,0,3.27.0,,,most_relevant,com.nextcloud.client
b7d20866-d99b-441d-be81-291053e7fed7,Vincent Långström,https://play-lh.googleusercontent.com/a-/ALV-UjWAazt05l3R1wtfWU0UMs4OT2Pt_34WO0Ab_RmVVoEYv27yy3IC,"Photo sync is extremely buggy and doesn't respect all settings in the app. There are many sync conflicts, which should not have been flagged as such. The app also frequently hangs, forcing a restart.",1,2,3.26.0,,,most_relevant,com.nextcloud.client
019677f3-3d38-4472-a0b5-e60523e55e2d,Mr Ben,https://play-lh.googleusercontent.com/a/ACg8ocIVg_Ydhhq8SU0kOa2eWUn6ml-t1go0PaETEkJFrMk00WEssA=mo,"A very good-looking app that doesn't work, auto-upload has never worked, since day 1, have to upload manually all the folders, which will make you sick, it's free tho, but come on you can't go further with broken features.",1,0,,,,most_relevant,com.nextcloud.client
db4aa934-7850-4912-91ae-8a480ebab94c,Luigi,https://play-lh.googleusercontent.com/a-/ALV-UjW8EhCKHN5sIdeClx2qhRD5Wf4OtccjFjqNavwg9lfHwnfagWsU2A,"Unfortunately the app is unreliable. It's slow, somewhat confusing to use and most importantly it often fails to upload files, which is it's main utility.",1,2,3.26.0,,,most_relevant,com.nextcloud.client
1cd318a5-1041-47af-afa4-cfa1ec076f8f,A Google user,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"9/17: 1st try: Cannot access files.  Folders are empty when opened (works fine using a web browser instead). I like nextcloud but this app is not mature. Update: Can get it to work but only on an old tablet, not on Nexus5X... Strange thing: For the same version 1.4.3 the Settings panel is a bit different: on Nexus5X the instant uploads (picture upload, etc.) are missing.      11/18: 2nd try: Decided to give it another try. Can't login = I'm running into the ""NextCloud stuck at ""Redirecting"" login issue"" (easy to find w/ Google search) - the usernane + password are recognized, but it goes to ""reverts to old login method' and then fails to connect still = ""Malformed server configuration"" error...",1,3,3.3.2,,,most_relevant,com.nextcloud.client
c676cffb-9406-4b80-bae4-1b5892e52c66,Tom Heuser,https://play-lh.googleusercontent.com/a-/ALV-UjUa4eGTEsJZKSCRxlLP0QoDbpEL_VEV-vYiiBBqmdatToHorWOXiQ,"Switched to a new server and when I tried logging in to my account, nextcloud app says ""testing connection"" for a long time and then says ""the server took too long to respond."" Only ""solution"" that seems to exist out there is to disable the bruteforce security settings, which seems sketchy and it's not even clear how exactly to do that. Also it looks like this has been an ongoing issue for at least 4 YEARS and Nextcloud still hasn't figured out how to fix it. 🤦‍♂️",1,6,3.17.0,,,most_relevant,com.nextcloud.client
3520d4c7-7dcc-4562-ab1b-0d8591a22608,Faizan shaikh,https://play-lh.googleusercontent.com/a-/ALV-UjVU8l4k-USuNLkEMA37Hl6DxcJYME_DfLK1szSX1fqcaI754rw7,"This rating with regards to next cloud application, not the next cloud it itself. Application Is crashing in every minute totally unusable. I'm backing up my configuration locally using mobile aap still it took 3 days to backup data using Android app, while using browser it was quite fast. I request concerns to please fix this issue as soonest.",1,2,3.21.2,,,most_relevant,com.nextcloud.client
f9025e29-9b84-415c-8728-801b893d6f30,Tom Wonders,https://play-lh.googleusercontent.com/a-/ALV-UjWE14KcZTmA3patnwQ9TAAhdu5WjyljuZpf0sVAszqtriglMHP2Vw,"Sadly very bad. Hoped I could switch to nextcloud as my main cloud provider but that android app prevents that. Not usable at all. Can't download any files (noting happens when I click download?), login information is not saved. It looks like it is just a webpage hidden in an app and works a bit clumsy... Sticking to onedrive/dropbox for now.",1,0,,,,most_relevant,com.nextcloud.client
